Code,Bark_at_5cm,FG,Old.name
ROMO,7.447443042,S,Roupala montana
STCA,3.278257096,S,Styrax camporum
DIBU,12.14103969,S,Diospyros burchelli
ALED,3.145938847,F,Alibertia edulis
COLA,8.762544909,G,Copaifera langsdorffii
PIRO,12.98253766,S,Piptocarpha rotundifolia
PLPO,9.184478561,S,Plenckia populnea
BYCO,9.274854577,S,Byrsonima coccolobifolia
DARA,5.892204182,G,Daphnopsis racemosa
BARU,NA,S,Bauhinia rufa
MYLI,9.385387306,G,Myrcia lingua
TEGL,6.611395949,F,Terminalia glabrescens
LAHA,2.146910917,F,Lacistema hasslerianum
COSU,12.99573709,S,Connarus suberosus
STAD,8.489252037,S,Stryphnodendron adstringens
ANCO,7.797263134,S,Annona coriacea
CASY,4.07229832,F,Casearia sylvestris
MAEL,3.390978509,F,Matayba elaeagnoides
ZARH,2.853777178,F,Zanthoxylum rhoifolium
MILI,5.142694049,G,Miconia ligustroides
ERGR,13.75952323,S,Eriotheca gracilipes
MABR,3.51094278,F,Machaerium brasiliense
MYTO,4.530915862,G,Myrcia tomentosa
QUCO,8.678867241,G,Qualea cordata
SCVI,2.226447508,S,Schefflera vinosa
ZEMO,NA,S,Zeyheria montana
SYPU,5.012874028,S,Symplocos pubescens
GOPO,16.42422266,G,Gochnatia polymorpha
CAAD,2.157777852,S,Campomanesia adamantium
STRO,8.957205607,S,Stryphnodendron rotundifolium
RAGU,9.587827357,G,Rapanea guianensis
CHMA,2.680411265,F,Chrysophyllum marginatum
LIMO,3.460131244,G,Lithraea molleoides
BOVI,10.47384111,S,Bowdichia virgilioides
RAFE,2.180881864,F,Rapanea ferruginea
OCPU,2.121646525,G,Ocotea pulchella
MYMU,1.067950333,F,Myrcia multiflora
TAGU,2.986526239,F,Tapirira guianensis
LEEL,15.69370664,S,Leptolobium elegans
MYFA,6.899760891,F,Myrcia splendens
CABR,12.59761092,S,Caryocar brasiliense
STFE,13.93254538,S,Styrax ferrugineus
RAUM,3.667323328,G,Rapanea umbellata
TOFO,NA,S,Tocoyena formosa
ANCR,15.56167419,S,Annona crassiflora
DUFU,NA,S,Duguetia furfuracea
QUGR,11.12829405,S,Qualea grandiflora
DIMO,11.0772442,S,Dimorphandra mollis
ERSU,14.42165507,S,Erythroxylum suberosum
KICO,16.82053091,S,Kielmeyera coriacea
MAAC,15.36623782,S,Machaerium acutifolium
VOTU,9.447775923,G,Vochysia tucanorum
GOBA,3.353104977,S,Gochnatia barrosii
MIAL,7.084320248,S,Miconia albicans
AEVE,9.141981803,S,Aegiphila verticillata
CESE,NA,F,Cestrum mariquitense
PEOB,4.01898155,F,Pera obovata
ANDI,NA,S,Annona dioica
SOLY,NA,S,Solanum lycocarpum
TAOC,12.5582692,G,Tabebuia ochracea
OUSP,11.49128475,S,Ouratea spectabilis
TACA,5.412490923,F,Tabernaemontana catharinensis
OCCO,5.66586722,G,Ocotea corymbosa
ERCU,NA,G,Erythroxylum cuneifolium
BADR,NA,G,Baccharis dracunculifolia
PEWI,NA,F,Persea willdenovii
PRMY,NA,F,Prunus myrtifolia
AMIN,3.092087037,F,Amaioua intermedia
QUMU,7.396828947,S,Qualea multiflora
POTO,14.64250439,S,Pouteria torta
STPO,NA,F,Styrax pohlii
PRHE,2.894865922,F,Protium heptaphyllum
SIGU,2.394213683,G,Siparuna guianensis
JACA,2.337061271,S,Jacaranda caroba
BYBA,NA,S,Byrsonima basiloba
RALA,NA,F,Rapanea lancifolia
CALU,NA,F,Calyptranthes lucida
CUVE,4.190679768,F,Cupania vernalis
PLEL,12.95108155,G,Platypodium elegans
LUGR,8.056355099,G,Luehea grandiflora
DAEL,6.275591151,S,Davilla elliptica
CAGU,1.859816428,F,Campomanesia guazumifolia
OCVE,7.232576383,G,Ocotea velloziana
OCMI,9.519246617,F,Ocotea minarum
EUMY,4.134011186,G,Eugenia myrcianthes
ANCA,5.167495345,F,Annona cacans
MYVE,3.889655424,G,Myrcia venulosa
EUPU,NA,S,Eugenia punicifolia
GUNI,3.811062545,F,Guatteria nigrescens
PLRE,9.973884702,S,Plathymenia reticulata
CUTE,2.352600461,F,Cupania tenuivalvis
NECU,2.949343097,F,Nectandra cuspidata
NEOP,NA,F,Nectandra oppositifolia
ANFA,18.63362755,G,Anadenanthera falcata
LUCA,4.901314705,F,Luehea candicans
LISA,NA,S,Lippia salviifolia
BALO,3.664506269,F,Bauhinia longifolia
PIAX,8.987068409,F,Piptocarpha axillaris
CEPA,2.358580556,F,Cecropia pachystachya
TAAU,15.157774,G,Tabebuia aurea
ERTO,13.94751594,S,Erythroxylum tortuosum
ASTO,10.17304493,S,Aspidosperma tomentosum
ZETU,9.09281612,F,Zeyheria tuberculosa
ERDE,4.878796587,G,Erythroxylum deciduum
HEAP,NA,F,Helietta apiculata
AESE,5.851476865,F,Aegiphila sellowiana
MAGU,1.457378021,F,Maprounea guianensis
CRFL,4.036367063,F,Croton floribundus
MISE,2.73126804,F,Miconia sellowiana
DAFA,NA,F,Daphnopsis fasciculata
GUVI,4.747867931,F,Guettarda viburnoides
FAMO,NA,F,Faramea montevidensis
PORA,NA,S,Pouteria ramiflora
BYLA,NA,F,Byrsonima laxiflora
SYRE,NA,F,Symplocos mosenii
XYAR,NA,S,Xylopia aromatica
